Index, Name
528,   808 Cym
529,   808 Cow
530,   Cosine
531,   808 Mrcs
532,   808 Claves
533,   Concert BD
534,   Concert SD
535,   Timpani
536,   Con Cymbal
537,   Fret Guitar
538,   Cut Noise
539,   Bass BD
540,   KC Flute
541,   Sea
542,   Thunder
543,   Windy
544,   Stream
545,   Bubble
546,   Bird
547,   Dog Bow
548,   Horse
549,   Mt Bird
550,   Telephone 1
551,   Telephone 2
552,   Creak
553,   S DOOR
554,   Scratch
555,   WindChime
556,   Helicopter
557,   Engine
558,   Car Stop
559,   Car Pass
560,   Crash
561,   GunShot
562,   Siren
563,   Train
564,   StarShip
565,   JetPlane
566,   Applause
567,   Laugh
568,   Scream
569,   Punch
570,   Heart
571,   Steps
572,   M Gun
573,   Laser
574,   Thunder 2
575,   RCrash 1 fL
576,   RCrash 1 fR
577,   RCrash 1 ffL
578,   RCrash 1 ffR
579,   RCrash 2 fL
580,   RCrash 2 fR
581,   RCrash 2 ffL
582,   RCrash 2 ffR
583,   R Snare 1R
584,   R Snare 2R
585,   R Mid Tom
586,   R RoomHiTom
587,   R Old Kick
588,   R Round Kick
589,   BsGt Play Nz
